step,hour,day,timestamp,wind_speed_m_per_s,wind_dir_deg,fire_front_cells,fire_affected_cells,failed_buses,failed_lines,grid_served_mw,customers_connected,customers_disconnected,saidi_minutes,min_bus_vm_pu,mean_bus_vm_pu,pf_converged,fire_burned_cells
94,94.0,3.9166666666666665,2025-01-10T22:00:00,8.399999999999999,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,525.8385062172442,0.9836486359956188,1.011627143949136,1.0,166372
95,95.0,3.9583333333333335,2025-01-10T23:00:00,7.468251437630925,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,532.1335103797119,0.9836486359956187,1.011627143949136,1.0,166372
96,96.0,4.0,2025-01-11T00:00:00,6.6,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,538.4285145421795,0.9836486359956186,1.0116271439491362,1.0,166372
97,97.0,4.041666666666667,2025-01-11T01:00:00,3.5857864376269046,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,544.7235187046472,0.9836486359956185,1.0116271439491362,1.0,166372
98,98.0,4.083333333333333,2025-01-11T02:00:00,3.2679491924311224,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,551.0185228671147,0.9836486359956184,1.0116271439491362,1.0,166372
99,99.0,4.125,2025-01-11T03:00:00,3.0681483474218627,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,557.3135270295824,0.9836486359956182,1.0116271439491362,1.0,166372
100,100.0,4.166666666666667,2025-01-11T04:00:00,3.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,563.60853119205,0.9836486359956181,1.0116271439491362,1.0,166372
101,101.0,4.208333333333333,2025-01-11T05:00:00,3.0681483474218636,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,569.9035353545175,0.983648635995618,1.0116271439491362,1.0,166372
102,102.0,4.25,2025-01-11T06:00:00,3.2679491924311224,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,576.1985395169852,0.9836486359956179,1.0116271439491362,1.0,166372
103,103.0,4.291666666666667,2025-01-11T07:00:00,3.585786437626905,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,582.4935436794528,0.9836486359956178,1.0116271439491362,1.0,166372
